frequency	gain
1.000000000000000e+006	7.453383e+002
1.023292992280754e+006	7.479969e+002
1.047128548050900e+006	7.506879e+002
1.071519305237606e+006	7.534153e+002
1.096478196143185e+006	7.561829e+002
1.122018454301963e+006	7.589948e+002
1.148153621496883e+006	7.618547e+002
1.174897554939529e+006	7.647662e+002
1.202264434617413e+006	7.677330e+002
1.230268770812381e+006	7.707587e+002
1.258925411794167e+006	7.738466e+002
1.288249551693134e+006	7.770003e+002
1.318256738556407e+006	7.802229e+002
1.348962882591653e+006	7.835176e+002
1.380384264602884e+006	7.868876e+002
1.412537544622754e+006	7.903359e+002
1.445439770745927e+006	7.938654e+002
1.479108388168207e+006	7.974788e+002
1.513561248436208e+006	8.011789e+002
1.548816618912481e+006	8.049683e+002
1.584893192461113e+006	8.088493e+002
1.621810097358929e+006	8.128245e+002
1.659586907437560e+006	8.168959e+002
1.698243652461744e+006	8.210656e+002
1.737800828749375e+006	8.253355e+002
1.778279410038922e+006	8.297075e+002
1.819700858609983e+006	8.341831e+002
1.862087136662867e+006	8.387638e+002
1.905460717963246e+006	8.434507e+002
1.949844599758044e+006	8.482451e+002
1.995262314968878e+006	8.531478e+002
2.041737944669528e+006	8.581594e+002
2.089296130854038e+006	8.632805e+002
2.137962089502231e+006	8.685113e+002
2.187761623949551e+006	8.738518e+002
2.238721138568338e+006	8.793019e+002
2.290867652767771e+006	8.848610e+002
2.344228815319920e+006	8.905285e+002
2.398832919019489e+006	8.963035e+002
2.454708915685028e+006	9.021846e+002
2.511886431509578e+006	9.081705e+002
2.570395782768862e+006	9.142594e+002
2.630267991895380e+006	9.204492e+002
2.691534803926914e+006	9.267377e+002
2.754228703338164e+006	9.331221e+002
2.818382931264451e+006	9.395997e+002
2.884031503126603e+006	9.461673e+002
2.951209226666383e+006	9.528213e+002
3.019951720402013e+006	9.595581e+002
3.090295432513587e+006	9.663737e+002
3.162277660168376e+006	9.732636e+002
3.235936569296279e+006	9.802234e+002
3.311311214825907e+006	9.872483e+002
3.388441561392021e+006	9.943332e+002
3.467368504525312e+006	1.001473e+003
3.548133892335750e+006	1.008661e+003
3.630780547701009e+006	1.015894e+003
3.715352290971720e+006	1.023163e+003
3.801893963205607e+006	1.030464e+003
3.890451449942801e+006	1.037790e+003
3.981071705534967e+006	1.045135e+003
4.073802778041122e+006	1.052493e+003
4.168693834703348e+006	1.059855e+003
4.265795188015920e+006	1.067217e+003
4.365158322401653e+006	1.074572e+003
4.466835921509625e+006	1.081912e+003
4.570881896148743e+006	1.089231e+003
4.677351412871975e+006	1.096522e+003
4.786300923226376e+006	1.103779e+003
4.897788193684454e+006	1.110996e+003
5.011872336272715e+006	1.118165e+003
5.128613839913640e+006	1.125281e+003
5.248074602497717e+006	1.132337e+003
5.370317963702519e+006	1.139328e+003
5.495408738576236e+006	1.146248e+003
5.623413251903481e+006	1.153092e+003
5.754399373371559e+006	1.159853e+003
5.888436553555879e+006	1.166528e+003
6.025595860743566e+006	1.173111e+003
6.165950018614810e+006	1.179598e+003
6.309573444801920e+006	1.185984e+003
6.456542290346542e+006	1.192267e+003
6.606934480075947e+006	1.198442e+003
6.760829753919805e+006	1.204506e+003
6.918309709189351e+006	1.210456e+003
7.079457843841365e+006	1.216290e+003
7.244359600749886e+006	1.222005e+003
7.413102413009159e+006	1.227599e+003
7.585775750291822e+006	1.233070e+003
7.762471166286901e+006	1.238417e+003
7.943282347242798e+006	1.243640e+003
8.128305161640975e+006	1.248737e+003
8.317637711026692e+006	1.253707e+003
8.511380382023746e+006	1.258551e+003
8.709635899560787e+006	1.263268e+003
8.912509381337434e+006	1.267858e+003
9.120108393559076e+006	1.272323e+003
9.332543007969888e+006	1.276662e+003
9.549925860214336e+006	1.280877e+003
9.772372209558083e+006	1.284969e+003
9.999999999999976e+006	1.288938e+003
1.023292992280752e+007	1.292787e+003
1.047128548050897e+007	1.296517e+003
1.071519305237604e+007	1.300130e+003
1.096478196143182e+007	1.303627e+003
1.122018454301961e+007	1.307011e+003
1.148153621496880e+007	1.310284e+003
1.174897554939527e+007	1.313447e+003
1.202264434617410e+007	1.316503e+003
1.230268770812378e+007	1.319454e+003
1.258925411794164e+007	1.322303e+003
1.288249551693131e+007	1.325052e+003
1.318256738556404e+007	1.327704e+003
1.348962882591650e+007	1.330260e+003
1.380384264602881e+007	1.332724e+003
1.412537544622750e+007	1.335097e+003
1.445439770745923e+007	1.337383e+003
1.479108388168203e+007	1.339584e+003
1.513561248436204e+007	1.341702e+003
1.548816618912477e+007	1.343740e+003
1.584893192461109e+007	1.345700e+003
1.621810097358925e+007	1.347585e+003
1.659586907437555e+007	1.349397e+003
1.698243652461739e+007	1.351138e+003
1.737800828749370e+007	1.352811e+003
1.778279410038917e+007	1.354418e+003
1.819700858609978e+007	1.355962e+003
1.862087136662862e+007	1.357443e+003
1.905460717963241e+007	1.358865e+003
1.949844599758039e+007	1.360230e+003
1.995262314968874e+007	1.361540e+003
2.041737944669523e+007	1.362796e+003
2.089296130854033e+007	1.364001e+003
2.137962089502225e+007	1.365157e+003
2.187761623949546e+007	1.366265e+003
2.238721138568332e+007	1.367327e+003
2.290867652767766e+007	1.368345e+003
2.344228815319914e+007	1.369321e+003
2.398832919019482e+007	1.370256e+003
2.454708915685022e+007	1.371152e+003
2.511886431509572e+007	1.372010e+003
2.570395782768855e+007	1.372833e+003
2.630267991895373e+007	1.373620e+003
2.691534803926906e+007	1.374375e+003
2.754228703338157e+007	1.375097e+003
2.818382931264444e+007	1.375789e+003
2.884031503126596e+007	1.376452e+003
2.951209226666375e+007	1.377086e+003
3.019951720402005e+007	1.377694e+003
3.090295432513579e+007	1.378276e+003
3.162277660168367e+007	1.378833e+003
3.235936569296270e+007	1.379366e+003
3.311311214825898e+007	1.379877e+003
3.388441561392012e+007	1.380366e+003
3.467368504525303e+007	1.380834e+003
3.548133892335741e+007	1.381283e+003
3.630780547701000e+007	1.381713e+003
3.715352290971711e+007	1.382124e+003
3.801893963205598e+007	1.382519e+003
3.890451449942792e+007	1.382896e+003
3.981071705534957e+007	1.383259e+003
4.073802778041112e+007	1.383606e+003
4.168693834703338e+007	1.383939e+003
4.265795188015910e+007	1.384258e+003
4.365158322401643e+007	1.384565e+003
4.466835921509614e+007	1.384859e+003
4.570881896148732e+007	1.385141e+003
4.677351412871964e+007	1.385412e+003
4.786300923226365e+007	1.385673e+003
4.897788193684442e+007	1.385924e+003
5.011872336272702e+007	1.386165e+003
5.128613839913628e+007	1.386397e+003
5.248074602497704e+007	1.386621e+003
5.370317963702505e+007	1.386837e+003
5.495408738576223e+007	1.387045e+003
5.623413251903468e+007	1.387246e+003
5.754399373371545e+007	1.387441e+003
5.888436553555865e+007	1.387629e+003
6.025595860743552e+007	1.387811e+003
6.165950018614795e+007	1.387989e+003
6.309573444801905e+007	1.388161e+003
6.456542290346527e+007	1.388328e+003
6.606934480075931e+007	1.388491e+003
6.760829753919788e+007	1.388650e+003
6.918309709189335e+007	1.388806e+003
7.079457843841347e+007	1.388958e+003
7.244359600749868e+007	1.389107e+003
7.413102413009141e+007	1.389254e+003
7.585775750291804e+007	1.389398e+003
7.762471166286883e+007	1.389541e+003
7.943282347242780e+007	1.389682e+003
8.128305161640957e+007	1.389821e+003
8.317637711026673e+007	1.389959e+003
8.511380382023726e+007	1.390097e+003
8.709635899560767e+007	1.390234e+003
8.912509381337415e+007	1.390371e+003
9.120108393559055e+007	1.390508e+003
9.332543007969867e+007	1.390646e+003
9.549925860214314e+007	1.390784e+003
9.772372209558059e+007	1.390923e+003
9.999999999999951e+007	1.391063e+003
1.023292992280749e+008	1.391205e+003
1.047128548050894e+008	1.391349e+003
1.071519305237601e+008	1.391495e+003
1.096478196143179e+008	1.391643e+003
1.122018454301958e+008	1.391794e+003
1.148153621496877e+008	1.391948e+003
1.174897554939523e+008	1.392105e+003
1.202264434617407e+008	1.392266e+003
1.230268770812375e+008	1.392431e+003
1.258925411794161e+008	1.392599e+003
1.288249551693127e+008	1.392773e+003
1.318256738556400e+008	1.392951e+003
1.348962882591646e+008	1.393134e+003
1.380384264602877e+008	1.393322e+003
1.412537544622746e+008	1.393517e+003
1.445439770745919e+008	1.393717e+003
1.479108388168199e+008	1.393924e+003
1.513561248436199e+008	1.394137e+003
1.548816618912472e+008	1.394358e+003
1.584893192461104e+008	1.394586e+003
1.621810097358921e+008	1.394821e+003
1.659586907437551e+008	1.395065e+003
1.698243652461734e+008	1.395317e+003
1.737800828749365e+008	1.395578e+003
1.778279410038912e+008	1.395848e+003
1.819700858609973e+008	1.396127e+003
1.862087136662856e+008	1.396416e+003
1.905460717963236e+008	1.396715e+003
1.949844599758034e+008	1.397025e+003
1.995262314968867e+008	1.397346e+003
2.041737944669517e+008	1.397677e+003
2.089296130854026e+008	1.398020e+003
2.137962089502219e+008	1.398374e+003
2.187761623949539e+008	1.398741e+003
2.238721138568325e+008	1.399119e+003
2.290867652767758e+008	1.399510e+003
2.344228815319907e+008	1.399913e+003
2.398832919019475e+008	1.400329e+003
2.454708915685014e+008	1.400758e+003
2.511886431509564e+008	1.401200e+003
2.570395782768847e+008	1.401654e+003
2.630267991895365e+008	1.402121e+003
2.691534803926898e+008	1.402600e+003
2.754228703338148e+008	1.403092e+003
2.818382931264435e+008	1.403596e+003
2.884031503126587e+008	1.404111e+003
2.951209226666366e+008	1.404637e+003
3.019951720401996e+008	1.405174e+003
3.090295432513570e+008	1.405719e+003
3.162277660168358e+008	1.406273e+003
3.235936569296261e+008	1.406834e+003
3.311311214825889e+008	1.407401e+003
