frequency	gain
1.000000000000000e+006	3.769371e+002
1.023292992280754e+006	3.775133e+002
1.047128548050900e+006	3.780663e+002
1.071519305237606e+006	3.785971e+002
1.096478196143185e+006	3.791063e+002
1.122018454301963e+006	3.795948e+002
1.148153621496883e+006	3.800634e+002
1.174897554939529e+006	3.805128e+002
1.202264434617413e+006	3.809435e+002
1.230268770812381e+006	3.813565e+002
1.258925411794167e+006	3.817523e+002
1.288249551693134e+006	3.821317e+002
1.318256738556407e+006	3.824951e+002
1.348962882591653e+006	3.828433e+002
1.380384264602884e+006	3.831768e+002
1.412537544622754e+006	3.834963e+002
1.445439770745927e+006	3.838022e+002
1.479108388168207e+006	3.840951e+002
1.513561248436208e+006	3.843755e+002
1.548816618912481e+006	3.846440e+002
1.584893192461113e+006	3.849010e+002
1.621810097358929e+006	3.851470e+002
1.659586907437560e+006	3.853824e+002
1.698243652461744e+006	3.856077e+002
1.737800828749375e+006	3.858232e+002
1.778279410038922e+006	3.860294e+002
1.819700858609983e+006	3.862267e+002
1.862087136662867e+006	3.864155e+002
1.905460717963246e+006	3.865960e+002
1.949844599758044e+006	3.867687e+002
1.995262314968878e+006	3.869338e+002
2.041737944669528e+006	3.870917e+002
2.089296130854038e+006	3.872428e+002
2.137962089502231e+006	3.873872e+002
2.187761623949551e+006	3.875253e+002
2.238721138568338e+006	3.876573e+002
2.290867652767771e+006	3.877836e+002
2.344228815319920e+006	3.879042e+002
2.398832919019489e+006	3.880196e+002
2.454708915685028e+006	3.881299e+002
2.511886431509578e+006	3.882353e+002
2.570395782768862e+006	3.883361e+002
2.630267991895380e+006	3.884324e+002
2.691534803926914e+006	3.885245e+002
2.754228703338164e+006	3.886125e+002
2.818382931264451e+006	3.886965e+002
2.884031503126603e+006	3.887769e+002
2.951209226666383e+006	3.888537e+002
3.019951720402013e+006	3.889271e+002
3.090295432513587e+006	3.889972e+002
3.162277660168376e+006	3.890642e+002
3.235936569296279e+006	3.891283e+002
3.311311214825907e+006	3.891894e+002
3.388441561392021e+006	3.892479e+002
3.467368504525312e+006	3.893038e+002
3.548133892335750e+006	3.893571e+002
3.630780547701009e+006	3.894081e+002
3.715352290971720e+006	3.894568e+002
3.801893963205607e+006	3.895034e+002
3.890451449942801e+006	3.895479e+002
3.981071705534967e+006	3.895903e+002
4.073802778041122e+006	3.896309e+002
4.168693834703348e+006	3.896697e+002
4.265795188015920e+006	3.897068e+002
4.365158322401653e+006	3.897422e+002
4.466835921509625e+006	3.897759e+002
4.570881896148743e+006	3.898083e+002
4.677351412871975e+006	3.898391e+002
4.786300923226376e+006	3.898686e+002
4.897788193684454e+006	3.898967e+002
5.011872336272715e+006	3.899236e+002
5.128613839913640e+006	3.899493e+002
5.248074602497717e+006	3.899738e+002
5.370317963702519e+006	3.899973e+002
5.495408738576236e+006	3.900197e+002
5.623413251903481e+006	3.900411e+002
5.754399373371559e+006	3.900615e+002
5.888436553555879e+006	3.900810e+002
6.025595860743566e+006	3.900997e+002
6.165950018614810e+006	3.901175e+002
6.309573444801920e+006	3.901345e+002
6.456542290346542e+006	3.901507e+002
6.606934480075947e+006	3.901663e+002
6.760829753919805e+006	3.901811e+002
6.918309709189351e+006	3.901953e+002
7.079457843841365e+006	3.902088e+002
7.244359600749886e+006	3.902217e+002
7.413102413009159e+006	3.902341e+002
7.585775750291822e+006	3.902459e+002
7.762471166286901e+006	3.902571e+002
7.943282347242798e+006	3.902679e+002
8.128305161640975e+006	3.902782e+002
8.317637711026692e+006	3.902880e+002
8.511380382023746e+006	3.902974e+002
8.709635899560787e+006	3.903064e+002
8.912509381337434e+006	3.903149e+002
9.120108393559076e+006	3.903231e+002
9.332543007969888e+006	3.903310e+002
9.549925860214336e+006	3.903384e+002
9.772372209558083e+006	3.903456e+002
9.999999999999976e+006	3.903524e+002
1.023292992280752e+007	3.903589e+002
1.047128548050897e+007	3.903652e+002
1.071519305237604e+007	3.903712e+002
1.096478196143182e+007	3.903768e+002
1.122018454301961e+007	3.903823e+002
1.148153621496880e+007	3.903875e+002
1.174897554939527e+007	3.903925e+002
1.202264434617410e+007	3.903972e+002
1.230268770812378e+007	3.904018e+002
1.258925411794164e+007	3.904062e+002
1.288249551693131e+007	3.904103e+002
1.318256738556404e+007	3.904143e+002
1.348962882591650e+007	3.904182e+002
1.380384264602881e+007	3.904218e+002
1.412537544622750e+007	3.904253e+002
1.445439770745923e+007	3.904287e+002
1.479108388168203e+007	3.904319e+002
1.513561248436204e+007	3.904350e+002
1.548816618912477e+007	3.904379e+002
1.584893192461109e+007	3.904407e+002
1.621810097358925e+007	3.904435e+002
1.659586907437555e+007	3.904461e+002
1.698243652461739e+007	3.904486e+002
1.737800828749370e+007	3.904510e+002
1.778279410038917e+007	3.904533e+002
1.819700858609978e+007	3.904555e+002
1.862087136662862e+007	3.904576e+002
1.905460717963241e+007	3.904597e+002
1.949844599758039e+007	3.904617e+002
1.995262314968874e+007	3.904636e+002
2.041737944669523e+007	3.904654e+002
2.089296130854033e+007	3.904672e+002
2.137962089502225e+007	3.904689e+002
2.187761623949546e+007	3.904706e+002
2.238721138568332e+007	3.904722e+002
2.290867652767766e+007	3.904738e+002
2.344228815319914e+007	3.904753e+002
2.398832919019482e+007	3.904768e+002
2.454708915685022e+007	3.904782e+002
2.511886431509572e+007	3.904796e+002
